23 апр. 2025 18:08:49,855 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1201550559
23 апр. 2025 22:41:24,870 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@907238321
23 апр. 2025 22:41:25,185 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1881006908
23 апр. 2025 22:41:25,343 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1881006908
23 апр. 2025 22:41:25,557 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@341870579
23 апр. 2025 22:41:25,559 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@217615645
23 апр. 2025 22:41:25,649 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@217615645
23 апр. 2025 22:41:25,829 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1661561955
23 апр. 2025 22:41:25,948 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2111676985
23 апр. 2025 22:41:26,101 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2111676985
23 апр. 2025 22:41:27,709 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2100487917
23 апр. 2025 22:41:27,842 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1149519638
23 апр. 2025 22:41:27,936 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1149519638
23 апр. 2025 22:41:29,474 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@279424910
23 апр. 2025 22:41:29,628 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1638521765
23 апр. 2025 22:41:29,850 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1638521765
23 апр. 2025 22:41:31,414 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@564099165
23 апр. 2025 22:41:31,467 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@835554579
23 апр. 2025 22:41:31,467 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@564099165
23 апр. 2025 22:41:31,890 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@962194508
23 апр. 2025 22:41:31,927 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1341286250
23 апр. 2025 22:41:31,958 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1341286250
23 апр. 2025 22:41:32,741 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1663731305
23 апр. 2025 22:41:32,800 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@689338717
23 апр. 2025 22:41:32,838 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@689338717
23 апр. 2025 22:41:43,899 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1114377537
23 апр. 2025 22:41:43,939 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1663731305
23 апр. 2025 22:41:43,939 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1114377537
23 апр. 2025 23:00:58,658 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@95971652
23 апр. 2025 23:00:59,720 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1689458432
23 апр. 2025 23:00:59,721 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@95971652
23 апр. 2025 23:00:59,988 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1102097996
23 апр. 2025 23:01:02,962 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@133090321
23 апр. 2025 23:01:02,965 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@634010046
23 апр. 2025 23:01:02,969 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@697905804
23 апр. 2025 23:01:03,519 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1530980564
23 апр. 2025 23:01:03,597 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2093751211
23 апр. 2025 23:01:03,607 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1626324155
23 апр. 2025 23:01:06,922 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@634010046
23 апр. 2025 23:01:06,923 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1530980564
23 апр. 2025 23:01:06,923 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@697905804
23 апр. 2025 23:01:06,923 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@133090321
23 апр. 2025 23:01:06,955 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@176600872
23 апр. 2025 23:01:08,606 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@813986327
23 апр. 2025 23:01:08,635 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@813986327
23 апр. 2025 23:01:08,635 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@176600872
23 апр. 2025 23:01:08,660 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1689458432
23 апр. 2025 23:01:28,366 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@748111329
23 апр. 2025 23:01:28,371 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1533650993
23 апр. 2025 23:01:28,762 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1533650993
23 апр. 2025 23:01:28,833 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@692369219
23 апр. 2025 23:01:28,927 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@387135015
23 апр. 2025 23:01:29,011 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@387135015
23 апр. 2025 23:01:33,247 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@805670712
23 апр. 2025 23:01:33,449 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@805670712
23 апр. 2025 23:01:33,586 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@764548466
23 апр. 2025 23:01:42,558 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1765076053
23 апр. 2025 23:02:03,589 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@763136156
24 апр. 2025 11:27:24,744 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@256417278
24 апр. 2025 11:27:25,865 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1608103523
24 апр. 2025 11:27:25,867 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@256417278
24 апр. 2025 11:27:27,663 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@546242567
24 апр. 2025 11:27:28,685 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1392425328
24 апр. 2025 11:27:28,685 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@936195951
24 апр. 2025 11:27:28,686 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2107142554
24 апр. 2025 11:27:29,062 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1584327353
24 апр. 2025 11:27:29,063 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1771850164
24 апр. 2025 11:27:29,333 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2078789933
24 апр. 2025 11:27:33,352 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2078789933
24 апр. 2025 11:27:33,352 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@936195951
24 апр. 2025 11:27:33,352 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2107142554
24 апр. 2025 11:27:33,354 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1392425328
24 апр. 2025 11:27:33,379 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@531794777
24 апр. 2025 11:27:33,386 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@691816361
24 апр. 2025 11:27:39,835 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1354364685
24 апр. 2025 11:27:39,862 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@531794777
24 апр. 2025 11:27:39,862 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1354364685
24 апр. 2025 11:27:39,862 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@691816361
24 апр. 2025 11:27:39,892 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1608103523
24 апр. 2025 11:27:45,965 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1823335638
24 апр. 2025 11:27:45,969 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2092021044
24 апр. 2025 11:27:46,300 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2092021044
24 апр. 2025 11:27:46,651 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1481866779
24 апр. 2025 11:27:46,755 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@947937653
24 апр. 2025 11:27:46,896 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@947937653
24 апр. 2025 11:27:53,253 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@2009654870
24 апр. 2025 11:27:53,366 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2009654870
24 апр. 2025 11:28:02,343 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@566630112
24 апр. 2025 11:28:59,058 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@432803034
24 апр. 2025 11:29:37,090 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@566630112
24 апр. 2025 11:30:29,071 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@880062560
24 апр. 2025 12:47:50,265 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1730830987
24 апр. 2025 12:47:51,434 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1689458432
24 апр. 2025 12:47:51,436 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1730830987
24 апр. 2025 12:47:51,727 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1688526221
24 апр. 2025 12:47:55,087 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@365398654
24 апр. 2025 12:47:55,088 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@858265590
24 апр. 2025 12:47:55,088 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@413420454
24 апр. 2025 12:47:55,946 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@526827626
24 апр. 2025 12:47:55,957 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@845015886
24 апр. 2025 12:47:56,038 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@758975567
24 апр. 2025 12:47:56,691 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1535364201
24 апр. 2025 12:47:56,695 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@889790231
24 апр. 2025 12:47:58,015 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@889790231
24 апр. 2025 12:47:58,226 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@593613016
24 апр. 2025 12:47:58,724 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@445669486
24 апр. 2025 12:47:58,975 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@349770367
24 апр. 2025 12:47:59,195 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1603900082
24 апр. 2025 12:47:59,210 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@445669486
24 апр. 2025 12:47:59,412 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1603900082
24 апр. 2025 12:47:59,812 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@530668187
24 апр. 2025 12:48:00,014 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1571313728
24 апр. 2025 12:48:00,119 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1571313728
24 апр. 2025 12:48:02,974 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1266547035
24 апр. 2025 12:48:03,153 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@835593000
24 апр. 2025 12:48:03,474 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@835593000
24 апр. 2025 12:48:04,034 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@134969140
24 апр. 2025 12:48:04,150 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1375101312
24 апр. 2025 12:48:04,303 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1375101312
24 апр. 2025 12:48:05,032 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1642288031
24 апр. 2025 12:48:05,290 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@741081034
24 апр. 2025 12:48:05,506 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@741081034
24 апр. 2025 12:48:06,195 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@365398654
24 апр. 2025 12:48:06,196 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@758975567
24 апр. 2025 12:48:06,197 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@413420454
24 апр. 2025 12:48:06,197 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@858265590
24 апр. 2025 12:48:06,396 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@690631737
24 апр. 2025 12:48:07,080 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1371502234
24 апр. 2025 12:48:07,255 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2018512475
24 апр. 2025 12:48:07,420 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2018512475
24 апр. 2025 12:48:09,312 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1204466346
24 апр. 2025 12:48:09,520 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@248428143
24 апр. 2025 12:48:09,748 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@248428143
24 апр. 2025 12:48:11,300 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1228592538
24 апр. 2025 12:48:11,435 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1228592538
24 апр. 2025 12:48:11,435 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@690631737
24 апр. 2025 12:48:11,744 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1689458432
24 апр. 2025 12:48:11,801 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@886604246
24 апр. 2025 12:48:12,045 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@222156381
24 апр. 2025 12:48:12,179 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@222156381
24 апр. 2025 12:48:13,208 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@389130550
24 апр. 2025 12:48:13,397 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2036696600
24 апр. 2025 12:48:13,477 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2036696600
24 апр. 2025 12:48:14,360 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1237765809
24 апр. 2025 12:48:14,480 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@99787506
24 апр. 2025 12:48:14,568 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@99787506
24 апр. 2025 12:48:15,356 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1756552211
24 апр. 2025 12:48:15,462 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@896110506
24 апр. 2025 12:48:15,515 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@896110506
24 апр. 2025 12:48:15,998 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@675980696
24 апр. 2025 12:48:16,166 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@513782411
24 апр. 2025 12:48:16,227 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@513782411
24 апр. 2025 12:48:16,474 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1048870372
24 апр. 2025 12:48:16,591 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1095515604
24 апр. 2025 12:48:16,652 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1095515604
24 апр. 2025 12:48:17,552 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1010381038
24 апр. 2025 12:48:17,666 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@244440517
24 апр. 2025 12:48:17,725 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@244440517
24 апр. 2025 12:48:18,613 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1039496855
24 апр. 2025 12:48:18,914 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@366046111
24 апр. 2025 12:48:19,059 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@366046111
24 апр. 2025 12:48:19,427 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@460059437
24 апр. 2025 12:48:19,481 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1040277523
24 апр. 2025 12:48:19,539 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1040277523
24 апр. 2025 12:48:20,404 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@777935517
24 апр. 2025 12:48:20,552 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1206916189
24 апр. 2025 12:48:20,596 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1206916189
24 апр. 2025 12:48:21,278 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@504999676
24 апр. 2025 12:48:21,335 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2015267431
24 апр. 2025 12:48:21,369 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2015267431
24 апр. 2025 12:48:22,288 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@488102399
24 апр. 2025 12:48:22,335 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1191270698
24 апр. 2025 12:48:22,374 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1191270698
24 апр. 2025 12:48:23,286 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1469206364
24 апр. 2025 12:48:23,369 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@148244045
24 апр. 2025 12:48:23,436 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@148244045
24 апр. 2025 12:48:24,267 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@381947905
24 апр. 2025 12:48:24,325 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@401002743
24 апр. 2025 12:48:24,364 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@401002743
24 апр. 2025 12:48:25,313 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1747509656
24 апр. 2025 12:48:25,352 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1851841832
24 апр. 2025 12:48:25,387 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1851841832
24 апр. 2025 12:48:26,273 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1458978426
24 апр. 2025 12:48:26,316 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@390605610
24 апр. 2025 12:48:26,358 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@390605610
24 апр. 2025 12:48:27,280 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@364054936
24 апр. 2025 12:48:27,334 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@593090465
24 апр. 2025 12:48:27,375 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@593090465
24 апр. 2025 12:48:28,297 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@456381967
24 апр. 2025 12:48:28,352 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@513950815
24 апр. 2025 12:48:28,398 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@513950815
24 апр. 2025 12:48:29,385 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@217451094
24 апр. 2025 12:48:29,433 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@825884167
24 апр. 2025 12:48:29,482 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@825884167
24 апр. 2025 12:48:30,402 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1661031894
24 апр. 2025 12:48:30,462 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1200724805
24 апр. 2025 12:48:30,500 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1200724805
24 апр. 2025 12:48:31,250 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@298980565
24 апр. 2025 12:48:31,305 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1624119446
24 апр. 2025 12:48:31,342 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1624119446
24 апр. 2025 12:48:32,265 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1479651261
24 апр. 2025 12:48:32,309 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1578070615
24 апр. 2025 12:48:32,345 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1578070615
24 апр. 2025 12:48:33,308 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1967960544
24 апр. 2025 12:48:33,353 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1146784902
24 апр. 2025 12:48:33,388 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1146784902
24 апр. 2025 12:48:34,280 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1704264516
24 апр. 2025 12:48:34,332 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1904195755
24 апр. 2025 12:48:34,368 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1904195755
24 апр. 2025 12:48:35,285 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@330310549
24 апр. 2025 12:48:35,332 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1044869774
24 апр. 2025 12:48:35,404 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1044869774
24 апр. 2025 12:48:36,337 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1238473170
24 апр. 2025 12:48:36,377 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1088245762
24 апр. 2025 12:48:36,411 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1088245762
24 апр. 2025 12:48:37,430 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@31006710
24 апр. 2025 12:48:37,508 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2127435361
24 апр. 2025 12:48:37,543 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@2127435361
24 апр. 2025 12:48:38,252 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@348654919
